freq,unit,sector,expend,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,PRIV,ADJ,ED25,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,BE	: d	: d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED25,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED25,CH	: z	0.0 	: z	: z	: z	: z	: z	: 	: z
A,MIO_EUR,PRIV,ADJ,ED25,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,DE	: z	: z	: z	: z	: z	: z	: z	: d	: d
A,MIO_EUR,PRIV,ADJ,ED25,DK	: z	: z	: z	: 	: z	: z	0.2 	0.2 	: z
A,MIO_EUR,PRIV,ADJ,ED25,EE	: z	0.0 	: z	: z	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,EL	: z	: z	: z	: z	: z	: z	: z	: z	: 
A,MIO_EUR,PRIV,ADJ,ED25,ES	: 	: d	: dz	: dz	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED25,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,HR	: z	: d	: d	: z	: z	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED25,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,IE	: 	: z	: z	: z	: d	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,IS	: dz	: dz	: z	: z	: dz	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,IT	-0.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,LT	: d	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,LV	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,NL	1.3 	1.2 	1.7 	2.4 	2.1 	2.4 	2.2 	2.3 	1.5 
A,MIO_EUR,PRIV,ADJ,ED25,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,PL	: d	: d	: d	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,PT	: 	: 	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED25,RO	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,RS	: 	: 	: z	: z	: 	: z	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED25,SE	: 	: 	: d	: d	: d	: d	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,SI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,SK	: 	0.0 	0.0 	0.0 	: z	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED25,TR	: d	: 	: 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED25,UK	11.8 	: z	: z	0.0 b	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,PRIV,ADJ,ED35,AT	: z	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: d	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,BE	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 	0.0 	0.0 d	0.0 d
A,MIO_EUR,PRIV,ADJ,ED35,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,CH	: 	0.0 	: d	: z	: 	: 	: 	: 	: d
A,MIO_EUR,PRIV,ADJ,ED35,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,DE	: z	: z	: z	: z	0.0 	0.0 	0.0 	0.0 d	0.0 d
A,MIO_EUR,PRIV,ADJ,ED35,DK	0.0 d	: d	: d	: 	4.8 	3.5 	1.8 	5.6 	3.7 
A,MIO_EUR,PRIV,ADJ,ED35,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,EL	13.0 	13.0 	14.7 	12.5 	12.0 	11.6 	12.0 	12.7 	: 
A,MIO_EUR,PRIV,ADJ,ED35,ES	94.6 	20.2 d	36.8 d	-0.6 d	15.3 d	15.8 d	19.3 d	11.1 d	-5.4 d
A,MIO_EUR,PRIV,ADJ,ED35,FI	: d	: d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d
A,MIO_EUR,PRIV,ADJ,ED35,FR	-12.7 	-17.9 	-15.0 	9.7 	12.8 	12.1 	0.8 	-14.0 	274.0 
A,MIO_EUR,PRIV,ADJ,ED35,HR	: z	0.0 d	0.0 d	: z	-0.5 	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,IE	: 	: z	: z	: z	: d	: 	: 	: 	: z
A,MIO_EUR,PRIV,ADJ,ED35,IS	0.0 	: z	0.0 	: z	: d	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,IT	: 	: 	: 	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED35,LT	: d	: 	0.0 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,LU	-0.6 	-2.4 	-7.4 	2.7 	-6.1 	-3.8 	-5.9 	-7.6 	-5.1 
A,MIO_EUR,PRIV,ADJ,ED35,LV	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.2 	0.1 
A,MIO_EUR,PRIV,ADJ,ED35,NL	11.1 	10.2 	11.1 	12.9 	11.2 	11.3 	9.3 	9.5 	6.4 
A,MIO_EUR,PRIV,ADJ,ED35,NO	: d	: d	0.0 	40.4 	41.2 	45.0 	197.4 	177.4 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,PL	: 	: 	101.3 d	126.6 d	138.2 d	131.7 	40.2 	59.5 	93.2 
A,MIO_EUR,PRIV,ADJ,ED35,PT	: d	: 	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35,RO	0.0 	0.0 	0.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
