freq,unit,expend,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC,CAP,AT	4.0 	4.5 	4.9 	5.5 	6.2 	6.7 	7.1 	6.8 	6.8 
A,PC,CAP,BE	4.4 	5.7 	5.0 	5.1 	5.6 	5.1 	5.4 	5.3 	5.1 
A,PC,CAP,BG	5.9 	7.3 	8.7 	5.6 	3.6 	4.5 	4.8 	5.9 	4.5 
A,PC,CAP,CH	: 	9.2 	10.1 	10.4 	10.7 d	: 	: 	: 	: 
A,PC,CAP,CY	5.7 	3.5 	2.8 	4.1 	6.1 	7.7 	4.2 	3.4 	3.0 
A,PC,CAP,CZ	9.3 	9.8 	11.1 	11.4 	8.0 	8.5 	12.7 	11.1 	9.3 
A,PC,CAP,DE	7.5 	7.3 	7.0 	6.8 	6.7 	6.9 	7.5 	8.4 d	9.5 d
A,PC,CAP,DK	: d	: d	: 	: 	9.1 	6.7 	6.8 	7.0 	8.1 
A,PC,CAP,EE	0.0 	13.4 d	: d	: d	: d	: d	: d	: d	: d
A,PC,CAP,EL	9.9 	10.9 	10.8 	11.9 	11.9 	11.6 	12.2 	13.5 	: 
A,PC,CAP,ES	7.7 	5.9 	5.4 	5.4 	4.6 	5.2 	5.2 	5.4 	5.5 
A,PC,CAP,EU27_2020	: 	: 	: 	: 	: 	7.5 d	9.2 d	8.9 d	8.9 d
A,PC,CAP,EU28	: 	: 	: 	: 	: 	7.4 d	9.1 d	8.8 d	: 
A,PC,CAP,FI	6.0 	5.8 	6.3 	8.9 	8.9 	9.1 	8.6 	10.6 	11.5 
A,PC,CAP,FR	8.7 	8.7 	8.2 	7.8 	7.4 	7.6 	7.8 	8.5 	8.0 
A,PC,CAP,HR	: d	3.4 	3.8 	: 	: 	: d	: d	6.9 	8.5 
A,PC,CAP,HU	3.9 	4.5 	: d	4.2 e	6.1 	8.5 	10.5 	9.9 	10.1 
A,PC,CAP,IE	5.1 	5.8 	6.2 	: d	: d	: d	: d	: d	: d
A,PC,CAP,IS	6.1 	5.5 d	6.4 	5.8 	4.9 	4.8 	6.3 	5.9 d	4.7 d
A,PC,CAP,IT	4.1 d	5.4 	4.8 	5.0 	3.6 	2.0 	2.8 	5.1 	5.3 
A,PC,CAP,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,PC,CAP,LT	12.5 d	: d	14.3 	12.7 	7.0 	5.5 	6.4 	5.8 	11.8 
A,PC,CAP,LU	: 	12.5 	11.8 	9.8 	6.9 	8.9 	10.1 	11.2 	9.6 
A,PC,CAP,LV	12.4 d	12.6 	17.9 	15.6 	9.3 	11.4 	15.5 	15.1 	15.1 
A,PC,CAP,MT	12.8 	12.1 	12.1 	14.2 	15.5 	10.3 	12.8 	13.7 	15.3 
A,PC,CAP,NL	12.3 	12.2 	12.1 	11.4 	10.8 	10.9 	10.6 	10.8 	11.1 
A,PC,CAP,NO	: d	11.1 	11.1 	12.4 	12.8 	13.4 	13.3 	12.9 	13.3 
A,PC,CAP,PL	7.7 	: d	7.3 d	7.4 	5.2 	6.5 	8.6 	7.0 	6.6 
A,PC,CAP,PT	9.1 d	3.6 	2.9 d	4.7 d	2.5 	3.5 	3.8 	3.2 	3.1 
A,PC,CAP,RO	7.0 	5.4 	4.3 	4.3 	4.8 	4.0 	4.7 	5.0 	5.1 
A,PC,CAP,RS	: 	: d	: 	: 	: 	5.2 	: 	: 	: 
A,PC,CAP,SE	5.7 	5.1 	5.2 	5.1 	4.9 	4.2 	4.3 	4.6 	4.7 
A,PC,CAP,SI	7.6 	12.0 	12.3 	8.2 	13.3 	6.9 	8.4 	7.0 	7.8 
A,PC,CAP,SK	: 	6.8 	6.6 	14.6 	5.2 	5.5 	6.0 	6.2 	5.8 
A,PC,CAP,TR	: d	: 	: 	: 	14.2 	12.6 	14.1 	9.0 	8.4 
A,PC,CAP,UK	2.7 	2.7 	2.6 	2.5 b	2.3 	2.5 	2.3 	2.2 	: 
A,PC,CUR,AT	96.0 	95.5 	95.1 	94.5 	93.8 	93.3 	92.9 	93.2 	93.2 
A,PC,CUR,BE	95.6 	94.3 	95.0 	94.9 	94.4 	94.9 	94.6 	94.7 	94.9 
A,PC,CUR,BG	94.1 	92.7 	91.3 	94.4 	96.4 	95.5 	95.2 	94.1 	95.5 
A,PC,CUR,CH	: 	90.8 	89.9 	89.6 	89.3 d	: 	: 	: 	: 
A,PC,CUR,CY	94.3 	96.5 	97.2 	95.9 	93.9 	92.3 	95.8 	96.6 	97.0 
A,PC,CUR,CZ	90.7 	90.2 	88.9 	88.6 	92.0 	91.5 	87.3 	88.9 	90.7 
A,PC,CUR,DE	92.5 	92.7 	93.0 	93.2 	93.3 	93.1 	92.5 	91.6 d	90.5 d
A,PC,CUR,DK	90.8 	: 	: 	: 	90.9 	93.3 	93.2 	93.0 	91.9 
A,PC,CUR,EE	0.0 	86.6 d	: d	: d	: d	: d	: d	: d	: d
A,PC,CUR,EL	90.1 	89.1 	89.2 	88.1 	88.1 	88.4 	87.8 	86.5 	: 
A,PC,CUR,ES	92.3 	94.1 	94.6 	94.6 	95.4 	94.8 	94.8 	94.6 	94.5 
A,PC,CUR,EU27_2020	: 	: 	: 	: 	: 	92.5 d	90.8 d	91.1 d	91.1 d
A,PC,CUR,EU28	: 	: 	: 	: 	: 	92.6 d	90.9 d	91.2 d	: 
