freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC,ED02-8,AT	4.5 	4.0 	4.3 	4.0 	3.9 	3.9 	4.1 	4.5 	4.8 
A,PC,ED02-8,BE	5.5 	5.4 	5.4 	5.5 	5.4 	5.3 	5.4 	6.0 	5.4 
A,PC,ED02-8,BG	17.5 	22.2 	21.2 	21.3 	21.6 	20.4 	18.4 	16.5 	15.5 
A,PC,ED02-8,CH	: 	1.4 	1.4 	1.3 	1.3 	1.4 	1.4 	: 	1.2 
A,PC,ED02-8,CY	6.4 	5.3 	4.8 	5.3 	4.2 	3.9 	3.9 	3.8 	3.4 
A,PC,ED02-8,CZ	3.5 	3.7 	3.6 	3.4 	3.6 	3.2 	2.8 	2.5 	2.5 
A,PC,ED02-8,DE	10.3 	10.0 	9.6 	9.4 	9.0 	8.7 	8.6 	8.7 d	9.1 d
A,PC,ED02-8,DK	: d	: d	: 	: 	16.4 	16.8 	15.7 	15.8 	16.0 
A,PC,ED02-8,EE	4.0 d	3.1 d	: d	: d	: d	: d	: d	: d	: d
A,PC,ED02-8,EL	0.2 d	0.2 d	0.2 d	0.1 d	: 	0.2 	0.2 	0.2 	: 
A,PC,ED02-8,ES	3.7 	3.5 	4.3 	4.1 	4.1 	4.3 	4.2 	4.0 	3.9 
A,PC,ED02-8,EU27_2020	: 	: 	: 	: 	: 	5.3 d	5.1 d	5.8 d	5.9 d
A,PC,ED02-8,EU28	: 	: 	: 	: 	: 	5.7 d	5.6 d	6.2 d	: 
A,PC,ED02-8,FI	5.9 d	5.9 	6.0 	6.0 	6.0 	5.0 	3.6 	3.4 	3.4 
A,PC,ED02-8,FR	4.2 	4.3 d	4.3 	4.4 	4.4 	4.3 	4.3 	4.2 	4.8 
A,PC,ED02-8,HR	: 	: d	: d	: 	0.0 d	: d	: d	: d	: d
A,PC,ED02-8,HU	5.6 	5.7 	: d	5.1 e	3.5 	4.1 	3.2 	4.6 	4.4 
A,PC,ED02-8,IE	8.8 	9.1 	9.4 	: d	: d	: d	: d	: d	: d
A,PC,ED02-8,IS	6.5 	6.6 d	6.0 	5.5 	6.4 	3.8 	: d	: d	: d
A,PC,ED02-8,IT	6.2 	6.1 	6.7 	6.5 	6.7 	6.4 	7.1 	7.3 	7.5 
A,PC,ED02-8,LI	: 	: d	: d	: d	: d	: 	: 	: 	: 
A,PC,ED02-8,LT	3.4 d	: d	3.2 	3.3 	3.2 	3.2 	2.8 	2.8 	2.1 
A,PC,ED02-8,LU	2.5 	: 	1.9 	1.6 	2.1 	1.6 	1.5 	1.6 	1.5 
A,PC,ED02-8,LV	5.6 	4.4 	3.3 	3.3 	3.9 	3.4 	2.7 	2.8 	2.8 
A,PC,ED02-8,MT	8.0 	7.2 	8.3 	7.0 	6.3 	6.4 	6.0 	5.5 	5.5 
A,PC,ED02-8,NL	11.0 	11.5 	13.3 	11.8 	15.1 	12.0 	15.2 	12.9 	12.3 
A,PC,ED02-8,NO	: d	12.8 d	15.4 	10.7 	10.7 	11.0 	10.9 	11.1 	12.4 
A,PC,ED02-8,PL	3.5 	4.4 	4.3 d	3.8 	3.7 	3.7 	3.6 	3.1 	2.5 
A,PC,ED02-8,PT	: d	5.2 	5.0 d	5.2 d	5.1 	5.2 	5.1 	6.0 	6.7 
A,PC,ED02-8,RO	4.8 	4.5 	2.2 	2.0 	2.5 	4.5 	4.3 	3.7 	3.9 
A,PC,ED02-8,RS	: 	: 	: 	0.0 	: 	: d	: 	: 	: 
A,PC,ED02-8,SE	: 	10.1 	10.1 	10.2 	9.6 	9.5 	9.5 	10.0 	10.9 
A,PC,ED02-8,SI	5.1 	4.1 	4.6 	5.1 	5.0 	4.6 	8.2 	8.2 	7.3 
A,PC,ED02-8,SK	: 	5.2 	4.7 	3.9 	4.2 	4.4 	4.0 	3.6 	3.4 
A,PC,ED02-8,TR	: d	: 	: 	: d	7.6 	7.8 	8.3 	7.5 	7.0 
A,PC,ED02-8,UK	6.5 	7.0 	14.4 	16.4 b	17.3 	17.5 	18.3 	18.4 	: 
A,PC,ED1,AT	1.3 	1.7 	0.9 	0.9 	0.8 	0.7 	0.7 	0.4 	0.4 
A,PC,ED1,BE	1.3 	0.9 	0.7 	0.8 	0.8 	0.8 	0.9 	0.7 	0.7 
A,PC,ED1,BG	21.4 	29.4 	28.3 	28.6 	28.7 	28.8 	25.5 	22.0 	19.9 
A,PC,ED1,CH	0.7 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	: 	0.2 
A,PC,ED1,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1,CZ	3.2 	3.1 	2.9 	2.6 	2.7 	2.3 	2.1 	1.9 	1.8 
A,PC,ED1,DE	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 
A,PC,ED1,DK	0.1 	0.1 	0.5 	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1,EE	1.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1,EL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
A,PC,ED1,ES	1.1 	1.1 	1.5 	1.5 	1.6 	1.8 	1.6 	1.4 	1.1 
A,PC,ED1,EU27_2020	1.1 d	1.1 d	1.4 d	1.5 d	: 	1.4 	1.3 	1.3 	1.0 d
A,PC,ED1,EU28	: 	: 	: 	: 	: 	1.3 	1.2 	1.3 	: 
A,PC,ED1,FI	0.0 d	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1,FR	3.3 	3.3 	3.4 	3.4 	3.4 	3.2 	3.1 	3.0 	3.7 
A,PC,ED1,HR	: 	: 	: 	: 	0.0 d	: z	: z	: d	: d
A,PC,ED1,HU	3.6 	4.0 	6.3 	5.2 	2.5 	1.8 	1.4 	1.7 	1.1 
A,PC,ED1,IE	1.0 	1.2 	1.2 	0.1 	0.1 	0.1 	0.2 	0.2 	0.1 
A,PC,ED1,IS	: z	: z	: z	: z	: z	: z	: z	: d	: d
A,PC,ED1,IT	1.3 	1.5 	1.6 	1.6 	1.6 	1.1 	2.0 	1.6 	1.4 
A,PC,ED1,LT	1.1 	1.1 	1.2 	1.1 	0.9 	0.9 	0.9 	1.0 	0.6 
A,PC,ED1,LU	1.9 	1.6 	1.1 	1.0 	1.2 	0.6 	0.6 	0.6 	0.6 
A,PC,ED1,LV	0.7 	0.5 	0.5 	0.4 	0.4 	0.2 	0.1 	0.2 	0.3 
A,PC,ED1,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1,NL	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,PC,ED1,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1,PL	0.6 	2.4 	2.4 	2.3 	2.1 	2.3 	2.9 	1.9 	1.1 
A,PC,ED1,PT	2.2 	2.6 	2.3 	2.1 	2.6 	2.5 	2.9 	4.1 	5.5 
A,PC,ED1,RO	1.1 	0.6 	0.7 	0.7 	0.8 	0.7 	0.6 	0.5 	0.5 
A,PC,ED1,RS	: 	: 	: 	: 	: 	: d	: 	: 	: 
A,PC,ED1,SE	: 	0.0 	0.0 	: z	: z	: z	: z	: z	: z
A,PC,ED1,SI	0.0 	: z	: z	: z	: z	: z	3.7 	3.6 	2.7 
A,PC,ED1,SK	: 	0.0 	0.0 	0.0 	: z	0.4 	0.4 	0.3 	0.6 
A,PC,ED1,TR	2.4 	2.3 	1.7 	1.9 d	2.4 	2.7 	2.2 	2.6 	1.9 
A,PC,ED1,UK	: z	: z	0.0 	0.0 b	0.0 	0.0 	0.0 	0.0 	: 
A,PC,ED1_2,AT	1.0 	1.4 	0.7 	0.7 	0.6 	0.6 	0.5 	0.4 	0.3 
A,PC,ED1_2,BE	1.6 	1.2 	1.1 	1.1 	1.1 	1.1 	1.3 	1.1 	1.0 
A,PC,ED1_2,BG	19.8 	27.3 	26.0 	26.2 	26.1 	26.7 	22.6 	19.6 	18.0 
A,PC,ED1_2,CH	0.6 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	: 	0.2 
A,PC,ED1_2,CY	1.2 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.3 	0.3 
A,PC,ED1_2,CZ	3.0 	3.0 	2.9 	2.7 	2.7 	2.4 	2.1 	1.8 	1.8 
A,PC,ED1_2,DE	0.7 	0.6 	0.6 	0.5 	0.4 	0.5 	0.4 	0.4 	0.4 
A,PC,ED1_2,DK	0.1 	0.1 	0.4 	: 	2.2 	2.4 	1.9 	2.0 	1.7 
A,PC,ED1_2,EE	1.7 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,PC,ED1_2,EL	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
A,PC,ED1_2,ES	0.8 	0.8 	1.1 	1.1 	1.1 	1.3 	1.2 	1.1 	0.8 
A,PC,ED1_2,EU27_2020	1.3 d	1.3 d	1.6 d	1.7 d	: 	1.7 d	1.5 d	1.7 d	1.4 d
A,PC,ED1_2,EU28	: 	: 	: 	: 	: 	1.6 d	1.5 d	1.6 d	: 
A,PC,ED1_2,FI	0.0 d	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC,ED1_2,FR	3.4 	3.5 	3.5 	3.5 	3.5 	3.4 	3.4 	3.3 	3.9 
A,PC,ED1_2,HR	: 	: 	: 	: 	0.0 d	: d	: d	: d	: d
A,PC,ED1_2,HU	3.6 	4.5 	6.0 	5.1 	2.4 	1.8 	1.5 	1.8 	1.3 
A,PC,ED1_2,IE	1.8 	1.9 	1.9 	2.2 d	2.2 	2.1 	2.2 	2.5 	2.5 
A,PC,ED1_2,IS	: z	: z	: z	: z	: z	: z	: z	: d	: d
A,PC,ED1_2,IT	1.4 	1.5 	1.6 	1.6 	1.5 	1.1 	2.0 	1.6 	1.5 
A,PC,ED1_2,LT	1.2 	1.2 	1.3 	1.3 	1.0 	1.0 	1.0 	1.0 	0.6 
A,PC,ED1_2,LU	1.8 	1.6 	1.3 	1.3 	1.7 	1.1 	1.0 	1.0 	0.9 
A,PC,ED1_2,LV	0.7 	0.5 	0.5 	0.4 	0.4 	0.2 	0.2 	0.2 	0.3 
A,PC,ED1_2,MT	0.2 	0.2 	0.1 	0.2 	0.0 	0.0 	0.1 	0.0 	0.0 
A,PC,ED1_2,NL	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 	0.6 	0.6 
A,PC,ED1_2,NO	0.0 	0.0 	0.0 	0.2 	0.3 	0.4 	0.5 	0.6 	0.7 
A,PC,ED1_2,PL	0.8 	2.9 	2.8 	2.1 	1.9 	2.0 	2.2 	1.9 	0.8 
A,PC,ED1_2,PT	2.1 	2.7 	2.3 	2.3 	3.1 	3.0 	3.4 	4.5 	5.0 
A,PC,ED1_2,RO	1.2 	1.0 	0.9 	1.1 	1.5 	1.5 	1.3 	1.2 	1.4 
A,PC,ED1_2,RS	: 	: 	: 	0.0 	: 	: d	: 	: 	: 
A,PC,ED1_2,SE	: 	0.7 	0.7 	0.7 	0.6 	0.5 	0.5 	0.7 	0.8 
A,PC,ED1_2,SI	0.0 	: z	: z	: z	: z	: z	3.7 	3.6 	2.8 
A,PC,ED1_2,SK	: 	0.0 	0.0 	0.0 	0.0 	0.5 	0.4 	0.4 	0.5 
A,PC,ED1_2,TR	2.3 	2.2 	2.0 	2.4 d	2.4 	2.7 	2.2 	2.6 	1.9 
A,PC,ED1_2,UK	0.0 	: z	0.0 	0.0 b	0.0 	0.0 	0.1 	0.0 	: 
A,PC,ED3_4,AT	5.7 	4.5 	5.5 	5.2 	5.1 	5.1 	5.1 	3.8 	4.1 
A,PC,ED3_4,BE	4.8 	4.8 	4.9 	5.1 	5.1 	4.9 	5.0 	5.6 	4.9 
A,PC,ED3_4,BG	12.9 	16.9 	17.8 	17.9 	16.8 	15.8 	15.2 	12.9 	11.5 
A,PC,ED3_4,CH	: 	2.7 	2.8 	2.8 	2.8 	3.0 	3.3 	: 	3.6 
A,PC,ED3_4,CY	2.9 	1.1 	1.0 	1.0 	0.9 	0.9 	0.8 	0.8 	0.8 
A,PC,ED3_4,CZ	3.7 	3.9 	4.0 	3.8 	4.0 	3.8 	3.2 	3.0 	2.9 
A,PC,ED3_4,DE	20.0 	19.6 	18.5 	17.9 	17.3 	16.7 	16.7 	16.6 d	17.2 d
A,PC,ED3_4,DK	: 	25.9 	24.2 	: 	22.3 	21.8 	17.1 	18.3 	18.9 
A,PC,ED3_4,EE	4.7 	2.8 	2.9 	3.7 	4.0 	3.7 	3.3 	3.8 	3.7 
A,PC,ED3_4,EL	0.0 d	0.0 	0.0 d	0.0 d	0.0 	0.0 	0.0 	0.0 	: 
A,PC,ED3_4,ES	4.0 	4.0 	4.9 	4.5 	4.4 	4.7 	4.4 	4.0 	4.0 
A,PC,ED3_4,EU27_2020	7.9 d	7.7 d	9.7 d	9.7 d	: 	4.6 	4.4 	5.4 	5.1 d
A,PC,ED3_4,EU28	: 	: 	: 	: 	: 	4.5 	4.3 	5.3 	: 
A,PC,ED3_4,FI	8.2 	8.3 	8.0 	7.8 	8.0 	6.9 	5.9 	5.8 	5.7 
A,PC,ED3_4,FR	3.9 	4.2 	4.2 	4.3 	4.2 	4.2 	4.3 	4.3 	4.9 
A,PC,ED3_4,HR	: 	: 	: 	: 	0.0 d	: z	: z	0.1 	0.1 
A,PC,ED3_4,HU	4.4 	4.5 	2.9 	3.2 	2.5 	2.1 	1.9 	2.9 	1.8 
