freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC_GDP,ED0,AT	0.54 	0.55 	0.58 	0.58 	0.60 	0.61 	0.61 	0.43 	0.69 
A,PC_GDP,ED0,BG	0.89 	1.03 	1.05 	0.97 	0.95 	0.94 	0.92 	0.93 	0.97 
A,PC_GDP,ED0,CH	0.18 	0.18 	0.24 	0.41 	0.41 	0.41 	0.40 	: 	0.45 
A,PC_GDP,ED0,CY	0.34 	0.35 	: 	0.37 	0.35 	0.33 	0.31 	0.29 	0.32 
A,PC_GDP,ED0,CZ	0.54 	0.54 	0.55 	0.52 	0.49 	0.53 	0.55 	0.58 	0.62 
A,PC_GDP,ED0,DE	0.60 	0.64 	0.68 	0.70 	0.74 	0.78 	0.83 	0.89 p	1.02 p
A,PC_GDP,ED0,DK	1.25 	1.18 	1.13 	: 	0.95 	0.95 	0.94 	0.97 	1.00 
A,PC_GDP,ED0,EE	0.43 	0.35 	0.93 	1.03 	1.04 	1.04 	1.06 	1.13 	1.20 
A,PC_GDP,ED0,ES	0.65 	0.63 	0.62 	0.61 	0.59 	0.58 	0.59 	0.59 p	0.68 p
A,PC_GDP,ED0,EU27_2020	: d	: d	0.67 d	0.65 d	: 	0.64 d	0.65 d	0.66 d	0.73 d
A,PC_GDP,ED0,EU28	: 	: 	: 	: 	: 	0.57 d	0.59 d	0.60 d	: 
A,PC_GDP,ED0,FI	1.13 d	1.11 	1.11 	1.11 	1.10 	1.03 	1.08 	1.13 	1.15 
A,PC_GDP,ED0,FR	0.65 	0.70 	0.70 	0.70 	0.69 	0.70 	0.69 	0.67 p	0.70 
A,PC_GDP,ED0,HR	: 	: 	: 	: 	0.52 d	0.54 	0.54 	0.56 	0.63 
A,PC_GDP,ED0,HU	: 	: 	0.81 	0.81 	0.81 	0.73 	0.71 	0.70 	0.67 
A,PC_GDP,ED0,IE	: 	0.11 	0.10 	0.07 	0.12 	0.15 	0.16 	0.17 	0.12 
A,PC_GDP,ED0,IS	1.53 	1.44 	1.54 	1.49 	1.43 	1.50 	1.57 	1.58 	1.85 
A,PC_GDP,ED0,IT	0.45 	0.45 	0.46 	0.48 	0.44 	0.47 	0.48 	0.49 	0.48 
A,PC_GDP,ED0,LT	0.63 	2.15 	0.62 	0.67 	0.75 	0.76 	0.86 	0.87 	1.03 
