freq,unit,sector,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,INTLORG,ED0,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED0,BG	0.8 	1.1 	1.1 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,CH	: z	: z	: z	: z	: z	0.0 	0.0 	: 	0.0 
A,MIO_EUR,INTLORG,ED0,CY	0.0 	0.0 	: 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED0,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,DK	: z	: z	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,EE	: 	7.6 	0.8 	0.1 	1.4 	1.4 	3.4 	5.2 	4.1 
A,MIO_EUR,INTLORG,ED0,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,EU27_2020	: 	: 	: 	: 	: 	129.5 d	226.2 d	148.3 d	180.7 d
A,MIO_EUR,INTLORG,ED0,EU28	: 	: 	: 	: 	: 	129.5 d	226.2 d	148.3 d	: 
A,MIO_EUR,INTLORG,ED0,FI	0.0 	0.0 	0.0 	: d	0.0 	0.1 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,FR	0.2 	0.2 	0.2 	1.1 	0.8 	0.8 	0.8 	0.9 	1.2 
A,MIO_EUR,INTLORG,ED0,HR	: 	: 	: 	: z	0.2 d	0.5 	1.6 	10.3 	11.2 
A,MIO_EUR,INTLORG,ED0,HU	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED0,IS	: z	: z	: z	: z	: z	: z	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,IT	96.9 	97.7 	97.7 	97.7 	0.0 	0.0 	27.9 	2.0 	17.6 
A,MIO_EUR,INTLORG,ED0,LT	4.8 	4.6 	3.0 	2.7 	3.5 	1.3 	7.4 	7.6 	8.1 
A,MIO_EUR,INTLORG,ED0,LU	6.4 	7.5 	6.3 	6.3 	7.3 	7.3 	7.3 	6.9 	5.6 
A,MIO_EUR,INTLORG,ED0,LV	7.1 	4.0 	11.7 	3.3 	2.0 	0.1 	0.6 	: 	0.1 
A,MIO_EUR,INTLORG,ED0,MT	0.0 	0.0 	0.1 	0.1 	0.1 d	1.0 d	0.0 d	0.0 d	0.0 d
A,MIO_EUR,INTLORG,ED0,NL	4.7 	3.7 	3.7 	5.0 	4.5 	4.1 	4.4 	3.8 	4.2 
A,MIO_EUR,INTLORG,ED0,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED0,PL	39.3 	37.9 	69.6 	30.1 	14.0 d	98.7 	140.8 	65.7 	62.7 
A,MIO_EUR,INTLORG,ED0,PT	0.2 	0.0 	0.0 	0.0 	: 	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED0,RO	: 	: 	0.9 	1.6 	1.1 	2.8 	9.4 	14.6 	27.4 
A,MIO_EUR,INTLORG,ED0,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED0,SE	: 	0.0 	0.0 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED0,SI	0.1 	0.1 	0.1 	0.1 	0.2 	0.5 	1.3 	0.9 	1.3 
A,MIO_EUR,INTLORG,ED0,SK	: 	8.6 	14.1 	8.0 	2.5 	10.7 	21.3 	30.6 	37.0 
A,MIO_EUR,INTLORG,ED0,TR	0.1 	0.0 	0.0 	0.0 	0.3 d	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED0,UK	: 	: z	: 	: z	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,INTLORG,ED01,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,CH	: z	: z	: z	: z	: z	: z	: z	: 	: z
A,MIO_EUR,INTLORG,ED01,CY	: z	: z	: 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,DK	: z	: dz	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,EE	: 	: d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,INTLORG,ED01,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,FI	0.0 	0.0 	0.0 	: d	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,HR	: 	: 	: 	: z	: d	: d	: d	: d	: d
A,MIO_EUR,INTLORG,ED01,HU	: 	: 	: d	0.0 e	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,IS	: z	: z	: z	: z	: z	: z	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,IT	: z	: z	: z	: dz	: d	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,LT	: d	: d	0.6 	0.4 	0.6 	0.3 	1.5 	1.5 	1.5 
A,MIO_EUR,INTLORG,ED01,LU	0.0 	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,LV	: z	: z	: z	: z	: z	: z	: z	: 	0.0 
A,MIO_EUR,INTLORG,ED01,MT	: z	: dz	: z	: dz	: dz	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,PT	: z	: z	: z	: z	: 	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,RO	: 	: 	0.0 	0.0 	0.3 	0.3 	0.9 	1.0 	1.4 
A,MIO_EUR,INTLORG,ED01,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,SE	: 	0.0 	0.0 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,SI	0.0 	0.0 	0.0 	0.1 	0.1 	0.2 	0.5 	0.3 	0.5 
A,MIO_EUR,INTLORG,ED01,SK	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,TR	: d	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,UK	: 	: z	: 	: z	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,INTLORG,ED02,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,BE	0.3 	1.5 	2.0 	1.0 	11.9 	11.9 	12.1 	12.2 	16.7 
A,MIO_EUR,INTLORG,ED02,BG	0.8 	1.1 	1.1 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,CH	: z	: z	: z	: z	: z	0.0 	0.0 	: 	0.0 
A,MIO_EUR,INTLORG,ED02,CY	0.0 	0.0 	0.0 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,DK	: z	: dz	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,EE	: d	7.6 d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,INTLORG,ED02,EL	: 	: 	: 	31.5 	31.8 	12.8 	16.5 	13.4 	: 
A,MIO_EUR,INTLORG,ED02,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,EU27_2020	: 	: 	: 	: 	: 	151.9 d	248.6 d	166.3 d	178.5 d
A,MIO_EUR,INTLORG,ED02,EU28	: 	: 	: 	: 	: 	151.9 d	248.6 d	166.3 d	: 
A,MIO_EUR,INTLORG,ED02,FI	0.0 	0.0 	0.0 	: d	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,FR	0.2 	0.2 	0.2 	1.1 	0.8 	0.8 	0.8 	0.9 	1.2 
A,MIO_EUR,INTLORG,ED02,HR	: 	: 	: 	: z	0.2 d	0.5 	1.6 	10.3 d	: d
A,MIO_EUR,INTLORG,ED02,HU	0.0 	0.0 	: d	0.0 e	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,IS	: z	: z	: z	: z	: z	: z	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,IT	96.9 	97.7 	97.7 	97.7 	0.0 	0.0 	27.9 	2.0 	17.6 
A,MIO_EUR,INTLORG,ED02,LT	4.8 d	: d	2.4 	2.2 	2.9 	1.0 	5.9 	6.1 	6.6 
A,MIO_EUR,INTLORG,ED02,LU	6.4 	7.5 	6.3 	6.3 	7.3 	7.3 	7.3 	6.9 	5.6 
A,MIO_EUR,INTLORG,ED02,LV	7.1 	4.0 	11.7 	3.3 	2.0 	0.1 	0.6 	0.1 	0.1 
A,MIO_EUR,INTLORG,ED02,MT	0.0 	0.0 	0.1 	0.1 	0.1 	1.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,NL	4.7 	3.7 	3.7 	5.0 	4.5 	4.1 	4.4 	3.8 	4.2 
A,MIO_EUR,INTLORG,ED02,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,PL	39.3 	37.9 	69.6 	30.1 	14.0 d	98.7 	140.8 	65.7 	62.7 
A,MIO_EUR,INTLORG,ED02,PT	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.2 	0.0 
A,MIO_EUR,INTLORG,ED02,RO	4.6 	0.2 	0.9 	1.6 	0.8 	2.5 	8.5 	13.7 	26.0 
A,MIO_EUR,INTLORG,ED02,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED02,SE	: 	0.0 	0.0 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,SI	0.0 	0.1 	0.1 	0.1 	0.1 	0.3 	0.8 	0.6 	0.8 
A,MIO_EUR,INTLORG,ED02,SK	: 	8.6 	14.1 	8.0 	2.5 	10.7 	21.3 	30.6 	37.0 
A,MIO_EUR,INTLORG,ED02,TR	: d	: 	: 	: 	0.3 	4.0 	4.1 	3.9 	4.0 
A,MIO_EUR,INTLORG,ED02,UK	0.0 	: z	: 	: z	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,INTLORG,ED02-8,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
