freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,EUR,ED0,AT	6313.5 	6579.9 	6893.8 	6959.6 	7267.0 	7535.6 	7617.3 	5442.4 	8271.8 
A,EUR,ED0,BG	1567.2 	1840.1 	1868.3 	1832.4 	1994.6 	2212.2 	2392.6 	2628.5 	2756.0 
A,EUR,ED0,CH	6311.8 	5884.9 	7746.0 	14350.9 	14296.3 	14348.9 	14101.3 	: 	16058.9 
A,EUR,ED0,CY	2993.2 	2803.2 	: 	2185.1 	2081.6 	2056.2 	2059.3 	2029.9 	2093.2 
A,EUR,ED0,CZ	2397.8 	2382.1 	2316.1 	2358.9 	2337.9 	2770.7 	3170.2 	3541.8 	3653.7 
A,EUR,ED0,DE	5822.5 	6256.1 	6663.6 	6965.3 	7443.8 	7978.4 	8473.3 	9156.4 	10094.6 
A,EUR,ED0,DK	10030.2 	10152.0 	10079.1 	: 	9580.1 	9991.6 	10095.5 	10739.0 	11073.9 
A,EUR,ED0,EE	1159.8 	993.9 	2666.2 	3024.9 	3300.7 	3664.8 	4139.7 	4752.3 	5010.7 
A,EUR,ED0,ES	3507.9 	3386.7 	3426.7 	3579.7 	3648.8 	3780.8 	4000.8 	4211.2 	4468.2 
A,EUR,ED0,EU27_2020	: 	: 	: 	: 	: 	5818.5 d	6082.9 d	6394.3 d	6739.3 d
A,EUR,ED0,EU28	: 	: 	: 	: 	: 	5540.8 d	5715.7 d	6006.7 d	: 
A,EUR,ED0,FI	9464.2 d	9872.4 	9897.0 	10026.3 	10337.6 	10227.3 	11077.5 	11994.0 	12355.9 
A,EUR,ED0,FR	5309.7 	5750.4 	5840.8 	5942.3 	6060.3 	6372.5 	6465.7 	6587.9 	6688.1 
A,EUR,ED0,HR	: 	: 	: 	: 	1940.9 d	2092.8 	2252.3 	2431.6 	2478.2 
A,EUR,ED0,HU	: 	: 	2674.5 	2740.9 	2832.9 	2857.3 	2921.4 	3082.1 	2806.3 
A,EUR,ED0,IE	: 	: 	5357.9 	7111.9 	6565.7 	6056.4 	6039.0 	7137.3 	6369.0 
A,EUR,ED0,IS	8387.1 	8564.1 	10106.7 	11685.9 	13861.7 	17389.8 	18597.1 	18728.2 	18612.0 
A,EUR,ED0,IT	4268.5 	4343.2 	4081.9 	4084.1 	4775.2 	5400.1 	5706.7 	6101.0 	5741.4 
A,EUR,ED0,LT	1908.4 	1898.5 	1904.6 	2036.2 	2331.3 	2533.3 	3011.3 	3251.6 	3878.8 
A,EUR,ED0,LU	17222.0 	15015.7 	17525.8 	17595.9 	14547.9 	15597.2 	16204.4 	18184.7 	18815.7 
A,EUR,ED0,LV	3130.9 	2375.9 	2606.6 	2604.9 	2691.0 	2895.4 	2832.2 	: 	3325.0 
A,EUR,ED0,MT	3288.8 	3689.6 	3834.1 	3831.9 	4124.1 d	: 	4673.0 d	5472.5 d	5823.9 d
A,EUR,ED0,NL	6128.1 	6291.2 	6221.4 	6194.3 	6356.8 	6674.1 	7246.5 	7582.2 	8084.1 
A,EUR,ED0,NO	: 	20269.9 	17958.0 	17275.7 	17355.0 	18071.4 	18362.2 	18961.0 	18011.4 
A,EUR,ED0,PL	1762.9 	1785.0 	1994.9 	2088.0 	2273.8 	2367.1 	2547.2 	2804.4 	2871.8 
A,EUR,ED0,PT	2384.8 	2659.0 	2768.5 	2688.8 	: 	: 	: 	: 	: 
A,EUR,ED0,RO	: 	: 	927.2 	1027.4 	1030.8 	1186.1 	1355.6 	1659.3 	1684.1 
A,EUR,ED0,RS	: 	105.4 	110.2 	116.7 	: 	115.9 d	: 	: 	: 
A,EUR,ED0,SE	12926.6 	13451.4 	13266.5 	13488.2 	13740.7 	13152.4 	12865.1 	12628.3 	12916.0 
A,EUR,ED0,SI	4351.7 	4163.9 	4433.0 	3889.6 	3827.0 	4058.9 	4244.6 	4439.6 	4837.7 
A,EUR,ED0,SK	2030.2 	2140.0 	2355.2 	2440.4 	2566.6 	2723.5 	2962.8 	3479.7 	3568.2 
A,EUR,ED0,TR	1368.2 	1323.5 	1198.4 	1294.6 d	1520.2 d	: 	: 	: 	: 
A,EUR,ED0,UK	5725.6 	4641.8 	3996.1 	4753.6 b	3297.3 	3183.2 	3015.7 	3141.5 	: 
A,EUR,ED01,AT	6363.8 	6709.8 	7303.0 	7120.5 	7152.6 	7403.0 	7614.3 	4453.3 	9028.3 
A,EUR,ED01,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,CH	: z	: z	: z	: z	: z	: z	: z	: 	: z
A,EUR,ED01,CY	: z	: z	: 	476.2 	397.4 	303.0 	324.7 	339.2 	370.5 
A,EUR,ED01,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,DE	7491.1 	8207.3 	9214.0 	9131.5 	10262.5 	10903.8 	11677.1 	12592.4 	13948.2 
A,EUR,ED01,DK	0.0 	: d	: 	: 	14657.3 	14875.7 	14628.8 	15525.5 	16044.3 
A,EUR,ED01,EE	: 	: d	: d	: d	: d	: d	: d	: d	: d
A,EUR,ED01,ES	3419.8 	3311.3 	3169.1 	3281.0 	3227.0 	3354.8 	3834.0 	4166.3 	4560.9 
A,EUR,ED01,FI	14826.4 d	15466.2 	15713.6 	16074.2 	17098.9 	16947.1 	18570.5 	20367.8 	21056.3 
A,EUR,ED01,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,HR	: 	: 	: 	: 	: d	: d	: d	: d	: d
A,EUR,ED01,HU	: 	: 	: d	2733.3 e	2705.9 	2810.6 	2853.2 	3064.0 	2542.1 
A,EUR,ED01,IE	: 	: z	: z	: d	: d	: d	: d	: d	: d
A,EUR,ED01,IS	10558.2 	10702.7 	13296.3 	15058.7 	18043.2 	22096.3 	24041.1 	24703.6 	24270.7 
A,EUR,ED01,IT	: z	: z	: z	: dz	: d	: z	: z	: z	: z
A,EUR,ED01,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,EUR,ED01,LT	: d	: d	2241.5 	2000.6 	2243.9 	2547.4 	2992.2 	3246.8 	3821.9 
A,EUR,ED01,LU	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,LV	: z	: z	: z	: z	: z	: z	: z	: 	3339.8 
A,EUR,ED01,MT	: z	: dz	: z	: dz	: dz	: 	: 	: 	: 
A,EUR,ED01,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,NO	: 	27899.7 	25252.2 	24299.9 	24128.5 	25262.3 	25642.8 	26510.0 	25216.1 
A,EUR,ED01,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,PT	: z	: z	: z	: z	: 	: 	: 	: 	: 
A,EUR,ED01,RO	: 	: 	1617.9 	1949.8 	2272.1 	2570.1 	2932.9 	3424.2 	3718.1 
A,EUR,ED01,RS	: 	: 	: 	0.0 	: 	: z	: 	: 	: 
A,EUR,ED01,SE	14374.6 	14892.0 	14879.4 	15219.6 	15638.2 	14833.6 	14586.3 	16344.3 	16677.3 
A,EUR,ED01,SI	4589.1 	5224.9 	5344.5 	4752.1 	4732.9 	4882.6 	5088.0 	5296.2 	5776.6 
A,EUR,ED01,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,EUR,ED01,TR	: d	: 	: 	: 	: 	: 	: 	: 	: 
A,EUR,ED01,UK	5251.2 	4250.4 	4011.6 	2774.9 b	3190.9 	2376.0 	2028.6 	2126.6 	: 
A,EUR,ED02,AT	6305.9 	6558.2 	6818.9 	6928.4 	7290.6 	7564.5 	7618.0 	5673.8 	8095.0 
A,EUR,ED02,BE	5778.2 	6040.3 	6101.4 	6237.7 	6523.7 	6695.4 	7089.7 	7328.2 	7603.5 
A,EUR,ED02,BG	1567.2 	1840.1 	1868.3 	1832.4 	1994.6 	2212.2 	2392.6 	2628.5 	2756.0 
A,EUR,ED02,CH	6311.8 	5884.9 	7746.0 	14350.9 	14296.3 	14348.9 	14101.3 	: 	16058.9 
A,EUR,ED02,CY	2993.2 	2803.2 	2715.2 	2630.6 	2548.4 	2607.1 	2648.0 	2637.7 	2708.6 
A,EUR,ED02,CZ	2397.8 	2382.1 	2316.1 	2358.9 	2337.9 	2770.7 	3170.2 	3541.8 	3653.7 
A,EUR,ED02,DE	5329.1 	5638.4 	5795.0 	6196.7 	6414.9 	6888.0 	7265.2 	7859.1 	8678.6 
A,EUR,ED02,DK	15963.3 	: d	: 	: 	6810.6 	7211.9 	7402.6 	7885.2 	8206.9 
A,EUR,ED02,EE	1159.8 d	993.9 d	: d	: d	: d	: d	: d	: d	: d
A,EUR,ED02,EL	: 	2799.4 	: 	2919.9 	3096.7 	2984.0 	3033.6 	3056.1 	: 
A,EUR,ED02,ES	3534.7 	3409.8 	3506.7 	3675.5 	3789.5 	3931.7 	4061.9 	4227.8 	4435.7 
A,EUR,ED02,EU27_2020	: 	: 	: 	: 	: 	5367.0 d	5540.2 d	5758.8 d	6037.8 d
A,EUR,ED02,EU28	: 	: 	: 	: 	: 	5153.8 d	5294.0 d	5506.3 d	: 
A,EUR,ED02,FI	8135.6 d	8498.1 	8493.4 	8594.7 	8765.7 	8677.6 	9363.6 	10083.4 	10359.5 
A,EUR,ED02,FR	5309.7 	5750.4 	5840.8 	5942.3 	6060.3 	6372.5 	6465.7 	6587.9 	6688.1 
A,EUR,ED02,HR	: d	: 	: 	: 	2393.1 d	2594.6 	2810.1 	3074.4 d	: d
A,EUR,ED02,HU	1846.4 	1969.6 	: d	2741.3 e	2839.2 	2859.8 	2925.0 	3083.0 	2819.1 
A,EUR,ED02,IE	5245.0 	4826.2 	5357.9 	: d	: d	: d	: d	: d	: d
A,EUR,ED02,IS	7400.2 	7636.7 	8730.7 	10179.5 	11965.1 	15198.9 	16048.7 	15839.8 	15710.2 
A,EUR,ED02,IT	4268.5 	4343.2 	4081.9 	4084.1 	4775.2 	5400.1 	5706.7 	6101.0 	5741.4 
A,EUR,ED02,LT	2281.9 d	: d	1838.6 	2043.3 	2349.6 	2530.1 	3016.0 	3252.8 	3892.1 
A,EUR,ED02,LU	17222.0 	15015.7 	17525.8 	17595.9 	14547.9 	15597.2 	16204.4 	18184.7 	18815.7 
A,EUR,ED02,LV	3130.9 	2375.9 	2606.6 	2604.9 	2691.0 	2895.4 	2832.2 	3082.0 	3321.8 
A,EUR,ED02,MT	3288.8 	3689.6 	3834.1 	3831.9 	4124.1 	4267.6 	4673.0 	5472.5 	5823.9 
A,EUR,ED02,NL	6128.1 	6291.2 	6221.4 	6194.3 	6356.8 	6674.1 	7246.5 	7582.2 	8084.1 
A,EUR,ED02,NO	: 	16052.2 	14032.5 	13497.1 	13645.1 	14034.6 	14246.0 	14727.8 	14009.0 
