freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC_GNI,ED0,AT	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.4 	0.7 
A,PC_GNI,ED0,BG	0.9 	1.1 	1.1 	1.0 	1.0 	0.9 	: 	: 	: 
A,PC_GNI,ED0,CH	0.2 	0.2 	0.2 	0.4 	0.4 	0.4 p	0.4 p	: 	0.5 p
A,PC_GNI,ED0,CY	0.4 	0.4 	: 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 
A,PC_GNI,ED0,CZ	0.6 	0.6 	0.6 	0.6 	0.5 	0.6 	0.6 	0.6 	0.7 
A,PC_GNI,ED0,DE	0.6 	0.6 	0.7 	0.7 	0.7 	0.8 	0.8 	0.9 p	1.0 p
A,PC_GNI,ED0,DK	1.2 	1.1 	1.1 	: 	0.9 	0.9 	0.9 	0.9 	1.0 
A,PC_GNI,ED0,EE	0.4 	0.4 	1.0 	1.0 	1.1 	1.1 	1.1 	1.1 	1.2 
A,PC_GNI,ED0,ES	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 
A,PC_GNI,ED0,EU27_2020	: 	: 	: 	: 	: 	0.6 d	0.6 d	: 	0.7 d
A,PC_GNI,ED0,EU28	: 	: 	: 	: 	: 	0.6 d	0.6 d	: 	: 
A,PC_GNI,ED0,FI	1.1 d	1.2 	: 	1.1 	1.1 	1.0 	1.1 	1.1 	1.1 
A,PC_GNI,ED0,FR	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 p	0.7 	0.7 p	0.7 p
A,PC_GNI,ED0,HR	: 	: 	: 	: 	0.5 d	0.5 	0.5 	0.6 	0.6 
A,PC_GNI,ED0,HU	: 	: 	0.8 	0.9 	0.8 	0.8 	0.7 	0.7 	0.7 
A,PC_GNI,ED0,IE	: 	: 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 
A,PC_GNI,ED0,IS	1.7 	1.5 	1.6 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED0,IT	0.4 	0.5 	0.5 	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 
A,PC_GNI,ED0,LT	0.7 	2.2 	0.6 	0.7 	0.8 	0.8 	0.9 	0.9 	1.1 
A,PC_GNI,ED0,LU	1.0 	0.8 	0.9 	0.9 	0.7 	0.7 	0.7 	0.8 	0.8 
A,PC_GNI,ED0,LV	1.1 	0.8 	0.9 	0.8 	0.8 	0.8 	0.8 	: 	1.1 
A,PC_GNI,ED0,MT	0.4 	0.4 	0.4 	0.4 	0.4 d	0.4 d	0.4 d	0.4 d	0.5 d
A,PC_GNI,ED0,NL	0.4 	0.4 	0.4 	0.4 	0.4 	0.3 	0.3 	0.3 	0.4 p
A,PC_GNI,ED0,NO	1.4 	1.4 	1.3 	1.3 	1.4 	1.4 	1.3 	1.4 	1.5 
A,PC_GNI,ED0,PL	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.8 	0.8 
A,PC_GNI,ED0,PT	0.4 	0.4 	0.4 	0.4 	: 	: 	: 	: 	: 
A,PC_GNI,ED0,RO	: 	: 	0.4 	0.4 	0.3 	0.3 	0.4 	0.4 	0.4 p
A,PC_GNI,ED0,RS	: 	0.1 	: 	: 	: 	0.1 d	: 	: 	: 
A,PC_GNI,ED0,SE	: 	1.8 	1.8 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 
A,PC_GNI,ED0,SI	1.0 	1.0 	1.0 	0.9 	0.8 	0.8 	0.8 	0.8 	0.9 
A,PC_GNI,ED0,SK	: 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.7 
A,PC_GNI,ED0,TR	: 	0.2 	0.2 	0.2 d	: d	: 	: 	: 	: 
A,PC_GNI,ED0,UK	0.4 	0.3 	0.2 	0.3 b	0.2 	0.3 	0.3 	0.3 	: 
A,PC_GNI,ED01,AT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,PC_GNI,ED01,BG	: z	: z	: z	: z	: z	: z	: 	: 	: 
A,PC_GNI,ED01,CH	: z	: z	: z	: z	: z	: p	: p	: 	: p
A,PC_GNI,ED01,CY	: z	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC_GNI,ED01,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GNI,ED01,DE	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 p	0.4 p
A,PC_GNI,ED01,DK	: 	: d	: d	: 	0.5 	0.5 	0.5 	0.5 	0.5 
A,PC_GNI,ED01,EE	: 	: d	: d	: d	: d	: d	: d	: d	: d
A,PC_GNI,ED01,ES	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 
A,PC_GNI,ED01,FI	0.3 d	0.4 	: 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 
A,PC_GNI,ED01,FR	: z	: z	: z	: z	: z	: p	: z	: p	: p
A,PC_GNI,ED01,HR	: 	: 	: 	: 	: d	: d	: d	: d	: d
A,PC_GNI,ED01,HU	: 	: 	: d	0.0 e	0.0 	0.0 	0.0 	0.0 	0.0 
A,PC_GNI,ED01,IE	: 	: z	: z	: z	: d	: d	: d	: d	: d
A,PC_GNI,ED01,IS	0.7 	0.6 	0.6 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED01,IT	: z	: z	: z	: dz	: d	: z	: z	: z	: z
A,PC_GNI,ED01,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,PC_GNI,ED01,LT	: d	: d	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 
A,PC_GNI,ED01,LU	0.0 	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GNI,ED01,LV	: z	: z	: z	: z	: z	: z	: z	: 	0.2 
A,PC_GNI,ED01,MT	: z	: dz	: z	: dz	: dz	: 	: 	: 	: 
A,PC_GNI,ED01,NL	: z	: z	: z	: z	: z	: z	: z	: z	: p
A,PC_GNI,ED01,NO	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 
A,PC_GNI,ED01,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GNI,ED01,PT	: z	: z	: z	: z	: 	: 	: 	: 	: 
A,PC_GNI,ED01,RO	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 p
A,PC_GNI,ED01,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,PC_GNI,ED01,SE	: 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 
A,PC_GNI,ED01,SI	0.3 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
A,PC_GNI,ED01,SK	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GNI,ED01,TR	: d	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED01,UK	0.0 	0.0 	0.0 	0.0 b	0.0 	0.0 	0.0 	0.0 	: 
A,PC_GNI,ED02,AT	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	0.5 
A,PC_GNI,ED02,BE	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 p
A,PC_GNI,ED02,BG	0.9 	1.1 	1.1 	1.0 	1.0 	0.9 	: 	: 	: 
A,PC_GNI,ED02,CH	0.2 	0.2 	0.2 	0.4 	0.4 	0.4 p	0.4 p	: 	0.5 p
A,PC_GNI,ED02,CY	0.4 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
A,PC_GNI,ED02,CZ	0.6 	0.6 	0.6 	0.6 	0.5 	0.6 	0.6 	0.6 	0.7 
A,PC_GNI,ED02,DE	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.5 p	0.6 p
A,PC_GNI,ED02,DK	: 	: d	: 	: 	0.4 	0.4 	0.4 	0.4 	0.5 
A,PC_GNI,ED02,EE	0.4 d	0.4 d	: d	: d	: d	: d	: d	: d	: d
A,PC_GNI,ED02,EL	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 p	0.3 p	0.3 p	: 
A,PC_GNI,ED02,ES	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	0.4 	0.4 	0.5 
A,PC_GNI,ED02,EU27_2020	: 	: 	: 	: 	: 	0.5 d	0.5 d	0.5 d	: 
A,PC_GNI,ED02,EU28	: 	: 	: 	: 	: 	0.5 d	0.5 d	0.5 d	: 
A,PC_GNI,ED02,FI	0.8 d	0.8 	: 	0.8 	0.7 	0.7 	0.7 	0.8 	0.8 
A,PC_GNI,ED02,FR	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 p	0.7 	0.7 p	0.7 p
A,PC_GNI,ED02,HR	: 	: 	: 	: 	0.5 d	0.5 	0.5 	0.6 d	: d
A,PC_GNI,ED02,HU	0.7 	: 	: d	0.8 e	0.8 	0.7 	0.7 	0.7 	0.7 
A,PC_GNI,ED02,IE	0.1 	: 	0.1 	0.1 	: d	: d	: d	: d	: d
A,PC_GNI,ED02,IS	1.0 	0.9 	0.9 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED02,IT	0.4 	0.5 	0.5 	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 
A,PC_GNI,ED02,LT	0.7 d	: d	0.5 	0.6 	0.7 	0.6 	0.7 	0.7 	0.9 
A,PC_GNI,ED02,LU	1.0 	0.8 	0.9 	0.9 	0.7 	0.7 	0.7 	0.8 	0.8 
A,PC_GNI,ED02,LV	1.1 	0.8 	0.9 	0.8 	0.8 	0.8 	0.8 	0.8 	0.9 
A,PC_GNI,ED02,MT	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 
A,PC_GNI,ED02,NL	0.4 	0.4 	0.4 	0.4 	0.4 	0.3 	0.3 	0.3 	0.4 p
A,PC_GNI,ED02,NO	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 
A,PC_GNI,ED02,PL	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.8 	0.8 
A,PC_GNI,ED02,PT	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
A,PC_GNI,ED02,RO	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 p
A,PC_GNI,ED02,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,PC_GNI,ED02,SE	: 	1.3 	1.3 	1.3 	1.3 	1.2 	1.2 	1.1 	1.1 
A,PC_GNI,ED02,SI	0.7 	0.6 	0.7 	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 
A,PC_GNI,ED02,SK	: 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.7 
A,PC_GNI,ED02,TR	: d	: 	: 	: 	: 	0.2 	: 	: 	0.2 p
A,PC_GNI,ED02,UK	0.3 	0.3 	0.2 	0.3 b	0.2 	0.2 	0.2 	0.2 	: 
A,PC_GNI,ED02-8,AT	5.4 	5.7 	5.4 	5.5 	5.4 	5.3 	5.2 	4.7 	5.4 
A,PC_GNI,ED02-8,BE	6.3 	6.5 	6.5 	6.4 	6.3 	6.2 	6.2 	6.2 	6.6 p
A,PC_GNI,ED02-8,BG	3.7 	4.4 	4.2 	4.0 	3.9 	4.1 	: 	: 	: 
A,PC_GNI,ED02-8,CH	: 	5.0 	5.0 	5.0 	5.0 	5.1 p	4.9 p	: 	5.3 p
A,PC_GNI,ED02-8,CY	6.3 	6.4 	6.3 	6.1 	6.1 	5.9 	5.7 	5.5 	6.1 
A,PC_GNI,ED02-8,CZ	4.7 	4.5 	4.1 	4.1 	3.8 	4.0 	4.5 	4.8 	4.9 
A,PC_GNI,ED02-8,DE	4.5 	4.5 	4.5 	4.4 	4.4 	4.4 	4.5 	4.5 dp	5.0 dp
A,PC_GNI,ED02-8,DK	: 	: d	: 	: 	6.8 	6.5 	6.3 	6.2 	6.6 
A,PC_GNI,ED02-8,EE	4.9 d	5.0 d	: d	: d	: d	: d	: d	: d	: d
A,PC_GNI,ED02-8,EL	3.6 d	3.6 d	3.6 d	3.7 d	: 	3.4 p	3.6 p	3.6 p	: 
A,PC_GNI,ED02-8,ES	4.4 	4.2 	4.2 	4.2 	4.1 	4.1 	4.0 	4.1 	4.7 
A,PC_GNI,ED02-8,EU27_2020	: 	: 	: 	: 	: 	4.7 d	4.7 d	4.7 d	5.0 d
A,PC_GNI,ED02-8,EU28	: 	: 	: 	: 	: 	4.8 d	4.8 d	4.8 d	: 
A,PC_GNI,ED02-8,FI	7.1 d	7.1 	: 	6.7 	6.5 	6.1 	5.9 	6.0 	6.2 
A,PC_GNI,ED02-8,FR	5.4 	5.4 d	5.5 	5.4 	5.3 	5.3 p	5.3 	5.2 p	5.6 p
A,PC_GNI,ED02-8,HR	: 	: 	: 	: 	3.9 d	: d	: d	3.9 	3.7 
A,PC_GNI,ED02-8,HU	4.3 	: 	: d	4.5 e	4.6 	4.4 	4.2 	4.0 	3.9 
A,PC_GNI,ED02-8,IE	7.5 	: 	5.8 	4.8 	: d	: d	: d	: d	: d
A,PC_GNI,ED02-8,IS	8.1 	6.9 d	7.1 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED02-8,IT	4.1 	4.2 	4.1 	4.1 	3.8 	4.0 	4.2 	4.1 	4.4 
A,PC_GNI,ED02-8,LI	: 	: d	: d	: d	: d	: 	: 	: 	: 
A,PC_GNI,ED02-8,LT	5.0 d	: d	4.4 	4.3 	4.0 	3.8 	3.8 	3.9 	4.5 
A,PC_GNI,ED02-8,LU	6.4 	: 	6.0 	6.1 	5.3 	5.5 	4.9 	5.6 	5.6 
A,PC_GNI,ED02-8,LV	6.7 	4.9 	5.3 	5.3 	4.7 	4.4 	4.3 	4.5 	4.6 
A,PC_GNI,ED02-8,MT	5.5 	5.9 	5.4 	5.1 	5.3 	4.9 	5.1 	5.0 	5.8 
A,PC_GNI,ED02-8,NL	5.8 	6.1 	5.5 	5.4 	5.6 	5.1 	5.3 	5.1 	5.6 p
A,PC_GNI,ED02-8,NO	: d	6.5 d	6.4 	6.4 	6.7 	6.6 	6.6 	6.9 	7.2 
A,PC_GNI,ED02-8,PL	5.1 	5.1 	5.1 d	5.0 	4.8 	4.8 	4.8 	4.9 	5.0 
A,PC_GNI,ED02-8,PT	: d	5.5 	5.1 d	4.9 d	4.8 	5.0 	4.7 	4.7 	4.9 
A,PC_GNI,ED02-8,RO	2.7 	2.8 	2.8 	2.8 	2.6 	2.7 	2.9 	3.2 	3.2 p
A,PC_GNI,ED02-8,RS	: 	: 	: 	: 	: 	3.8 d	: 	: 	: 
A,PC_GNI,ED02-8,SE	: 	7.2 	7.0 	6.9 	7.1 	6.9 	7.0 	6.9 	7.1 
A,PC_GNI,ED02-8,SI	5.5 	5.2 	5.0 	4.8 	4.6 	4.6 	4.7 	4.7 	5.1 
A,PC_GNI,ED02-8,SK	: 	4.2 	4.2 	4.7 	4.0 	4.0 	4.0 	4.4 	4.8 
A,PC_GNI,ED02-8,TR	: d	: 	: 	: d	: 	4.4 	: 	: 	4.1 p
A,PC_GNI,ED02-8,UK	6.0 	5.9 	5.9 	5.8 b	5.5 	5.5 	5.2 	5.3 	: 
A,PC_GNI,ED1,AT	0.8 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 
A,PC_GNI,ED1,BE	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 p
A,PC_GNI,ED1,BG	0.7 	0.9 	0.8 	0.8 	0.8 	0.8 	: 	: 	: 
A,PC_GNI,ED1,CH	1.4 	1.5 	1.5 	1.4 	1.5 	1.5 p	1.5 p	: 	1.6 p
A,PC_GNI,ED1,CY	2.0 	2.1 	2.1 	2.0 	2.1 	1.9 	2.0 	1.9 	2.2 
A,PC_GNI,ED1,CZ	0.8 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	1.0 	1.1 
A,PC_GNI,ED1,DE	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 p	0.7 p
A,PC_GNI,ED1,DK	2.2 	2.0 	2.0 	: 	1.7 	1.6 	1.6 	1.5 	1.7 
A,PC_GNI,ED1,EE	1.3 	1.5 	1.2 	1.3 	1.3 	1.4 	1.5 	1.6 	1.7 
A,PC_GNI,ED1,EL	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 p	1.3 p	1.3 p	: 
A,PC_GNI,ED1,ES	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.3 
A,PC_GNI,ED1,EU27_2020	: 	: 	: 	: 	: 	1.0 	1.0 d	1.0 d	1.1 d
A,PC_GNI,ED1,EU28	: 	: 	: 	: 	: 	1.1 	1.1 d	1.2 d	: 
A,PC_GNI,ED1,FI	1.4 d	1.4 	: 	1.4 	1.4 	1.3 	1.3 	1.4 	1.4 
A,PC_GNI,ED1,FR	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 p	1.1 	1.1 p	1.2 p
A,PC_GNI,ED1,HR	: 	: 	: 	: 	1.7 d	1.7 	1.7 	1.7 d	1.8 d
A,PC_GNI,ED1,HU	0.8 	: 	0.6 	0.8 	0.8 	0.7 	0.7 	0.8 	0.8 
A,PC_GNI,ED1,IE	2.8 	: 	2.1 	1.8 	1.7 	1.5 	1.5 	1.5 	1.5 
A,PC_GNI,ED1,IS	2.6 	2.2 	2.3 	: 	: 	: 	: 	: 	: 
A,PC_GNI,ED1,IT	1.0 	1.0 	1.0 	1.0 	0.9 	1.0 	0.9 	1.0 	1.2 
A,PC_GNI,ED1,LT	0.8 	2.5 	0.7 	0.7 	0.8 	0.8 	0.7 	0.8 	0.9 
A,PC_GNI,ED1,LU	2.1 	1.7 	1.9 	1.9 	1.5 	1.6 	1.5 	1.7 	1.7 
A,PC_GNI,ED1,LV	1.9 	1.5 	1.6 	1.6 	1.5 	1.4 	1.3 	1.3 	1.3 
A,PC_GNI,ED1,MT	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.1 	1.1 	1.3 
A,PC_GNI,ED1,NL	1.4 	1.4 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	1.3 p
A,PC_GNI,ED1,NO	1.6 	1.7 	1.6 	1.7 	1.7 	1.8 	1.8 	1.9 	1.9 
A,PC_GNI,ED1,PL	1.6 	1.5 	1.6 	1.5 	1.5 	1.5 	1.5 	1.3 	1.1 
A,PC_GNI,ED1,PT	1.5 	1.6 	1.6 	1.5 	1.4 	1.5 	1.4 	1.4 	1.5 
A,PC_GNI,ED1,RO	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 p
A,PC_GNI,ED1,RS	: 	: 	: 	: 	: 	: d	: 	: 	: 
A,PC_GNI,ED1,SE	: 	1.7 	1.7 	1.7 	1.8 	1.9 	1.9 	1.9 	1.9 
A,PC_GNI,ED1,SI	1.6 	1.5 	1.5 	1.4 	1.4 	1.4 	1.5 	1.4 	1.6 
A,PC_GNI,ED1,SK	: 	0.8 	0.8 	0.9 	0.9 	0.9 	0.9 	1.0 	1.1 
A,PC_GNI,ED1,TR	: 	1.0 	1.0 	1.0 d	: 	0.7 	: 	: 	0.8 p
A,PC_GNI,ED1,UK	1.8 	1.7 	1.9 	1.9 b	1.8 	1.8 	1.7 	1.7 	: 
A,PC_GNI,ED1_2,AT	2.0 	2.2 	2.1 	2.1 	2.1 	2.1 	2.0 	1.9 	2.1 
A,PC_GNI,ED1_2,BE	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.3 	2.5 p
A,PC_GNI,ED1_2,BG	1.4 	1.7 	1.6 	1.6 	1.6 	1.6 	: 	: 	: 
A,PC_GNI,ED1_2,CH	2.5 	2.5 	2.5 	2.4 	2.4 	2.4 p	2.3 p	: 	2.6 p
A,PC_GNI,ED1_2,CY	3.3 	3.4 	3.4 	3.2 	3.3 	3.1 	3.1 	3.1 	3.4 
A,PC_GNI,ED1_2,CZ	1.8 	1.8 	1.7 	1.8 	1.7 	1.8 	2.0 	2.2 	2.3 
A,PC_GNI,ED1_2,DE	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 p	2.0 p
